DefineLocIntent   {Loc}

SwapModeIntent    und {RouteMode}
SwapModeIntent    und wie sieht es {RouteMode} aus
SwapModeIntent    und wie schnell ist es {RouteMode}
SwapModeIntent    und wie weit ist es {RouteMode}
SwapModeIntent    {RouteMode}
SwapModeIntent    wie sieht es {RouteMode} aus
SwapModeIntent    wie schnell ist es {RouteMode}
SwapModeIntent    wie weit ist es {RouteMode}

DirectionIntent   wie schnell komme ich von {StartLoc} nach {EndLoc} {RouteMode}
DirectionIntent   wie komme ich von {StartLoc} nach {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich von {StartLoc} nach {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es von {StartLoc} nach {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich vom {StartLoc} nach {EndLoc} {RouteMode}
DirectionIntent   wie komme ich vom {StartLoc} nach {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich vom {StartLoc} nach {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es vom {StartLoc} nach {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich von der {StartLoc} nach {EndLoc} {RouteMode}
DirectionIntent   wie komme ich von der {StartLoc} nach {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich von der {StartLoc} nach {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es von der {StartLoc} nach {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich aus der {StartLoc} nach {EndLoc} {RouteMode}
DirectionIntent   wie komme ich aus der {StartLoc} nach {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich aus der {StartLoc} nach {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es aus der {StartLoc} nach {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich von {StartLoc} zur {EndLoc} {RouteMode}
DirectionIntent   wie komme ich von {StartLoc} zur {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich von {StartLoc} zur {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es von {StartLoc} zur {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich vom {StartLoc} zur {EndLoc} {RouteMode}
DirectionIntent   wie komme ich vom {StartLoc} zur {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich vom {StartLoc} zur {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es vom {StartLoc} zur {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich von der {StartLoc} zur {EndLoc} {RouteMode}
DirectionIntent   wie komme ich von der {StartLoc} zur {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich von der {StartLoc} zur {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es von der {StartLoc} zur {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich aus der {StartLoc} zur {EndLoc} {RouteMode}
DirectionIntent   wie komme ich aus der {StartLoc} zur {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich aus der {StartLoc} zur {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es aus der {StartLoc} zur {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich von {StartLoc} in die {EndLoc} {RouteMode}
DirectionIntent   wie komme ich von {StartLoc} in die {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich von {StartLoc} in die {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es von {StartLoc} in die {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich vom {StartLoc} in die {EndLoc} {RouteMode}
DirectionIntent   wie komme ich vom {StartLoc} in die {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich vom {StartLoc} in die {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es vom {StartLoc} in die {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich von der {StartLoc} in die {EndLoc} {RouteMode}
DirectionIntent   wie komme ich von der {StartLoc} in die {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich von der {StartLoc} in die {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es von der {StartLoc} in die {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich aus der {StartLoc} in die {EndLoc} {RouteMode}
DirectionIntent   wie komme ich aus der {StartLoc} in die {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich aus der {StartLoc} in die {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es aus der {StartLoc} in die {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich von {StartLoc} zum {EndLoc} {RouteMode}
DirectionIntent   wie komme ich von {StartLoc} zum {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich von {StartLoc} zum {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es von {StartLoc} zum {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich vom {StartLoc} zum {EndLoc} {RouteMode}
DirectionIntent   wie komme ich vom {StartLoc} zum {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich vom {StartLoc} zum {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es vom {StartLoc} zum {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich von der {StartLoc} zum {EndLoc} {RouteMode}
DirectionIntent   wie komme ich von der {StartLoc} zum {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich von der {StartLoc} zum {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es von der {StartLoc} zum {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich aus der {StartLoc} zum {EndLoc} {RouteMode}
DirectionIntent   wie komme ich aus der {StartLoc} zum {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich aus der {StartLoc} zum {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es aus der {StartLoc} zum {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich von {StartLoc} ins {EndLoc} {RouteMode}
DirectionIntent   wie komme ich von {StartLoc} ins {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich von {StartLoc} ins {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es von {StartLoc} ins {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich vom {StartLoc} ins {EndLoc} {RouteMode}
DirectionIntent   wie komme ich vom {StartLoc} ins {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich vom {StartLoc} ins {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es vom {StartLoc} ins {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich von der {StartLoc} ins {EndLoc} {RouteMode}
DirectionIntent   wie komme ich von der {StartLoc} ins {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich von der {StartLoc} ins {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es von der {StartLoc} ins {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich aus der {StartLoc} ins {EndLoc} {RouteMode}
DirectionIntent   wie komme ich aus der {StartLoc} ins {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich aus der {StartLoc} ins {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es aus der {StartLoc} ins {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich von {StartLoc} in das {EndLoc} {RouteMode}
DirectionIntent   wie komme ich von {StartLoc} in das {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich von {StartLoc} in das {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es von {StartLoc} in das {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich vom {StartLoc} in das {EndLoc} {RouteMode}
DirectionIntent   wie komme ich vom {StartLoc} in das {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich vom {StartLoc} in das {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es vom {StartLoc} in das {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich von der {StartLoc} in das {EndLoc} {RouteMode}
DirectionIntent   wie komme ich von der {StartLoc} in das {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich von der {StartLoc} in das {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es von der {StartLoc} in das {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich aus der {StartLoc} in das {EndLoc} {RouteMode}
DirectionIntent   wie komme ich aus der {StartLoc} in das {EndLoc} {RouteMode}
DirectionIntent   wie lange brauche ich aus der {StartLoc} in das {EndLoc} {RouteMode}
DirectionIntent   wie weit ist es aus der {StartLoc} in das {EndLoc} {RouteMode}
DirectionIntent   wie schnell komme ich {RouteMode} von {StartLoc} nach {EndLoc}
DirectionIntent   wie komme ich {RouteMode} von {StartLoc} nach {EndLoc}
DirectionIntent   wie lange brauche ich {RouteMode} von {StartLoc} nach {EndLoc}
DirectionIntent   wie weit ist es {RouteMode} von {StartLoc} nach {EndLoc}
DirectionIntent   wie schnell komme ich {RouteMode} vom {StartLoc} nach {EndLoc}
DirectionIntent   wie komme ich {RouteMode} vom {StartLoc} nach {EndLoc}
DirectionIntent   wie lange brauche ich {RouteMode} vom {StartLoc} nach {EndLoc}
DirectionIntent   wie weit ist es {RouteMode} vom {StartLoc} nach {EndLoc}
DirectionIntent   wie schnell komme ich {RouteMode} von der {StartLoc} nach {EndLoc}
DirectionIntent   wie komme ich {RouteMode} von der {StartLoc} nach {EndLoc}
DirectionIntent   wie lange brauche ich {RouteMode} von der {StartLoc} nach {EndLoc}
DirectionIntent   wie weit ist es {RouteMode} von der {StartLoc} nach {EndLoc}
DirectionIntent   wie schnell komme ich {RouteMode} aus der {StartLoc} nach {EndLoc}
DirectionIntent   wie komme ich {RouteMode} aus der {StartLoc} nach {EndLoc}
DirectionIntent   wie lange brauche ich {RouteMode} aus der {StartLoc} nach {EndLoc}
DirectionIntent   wie weit ist es {RouteMode} aus der {StartLoc} nach {EndLoc}
DirectionIntent   wie schnell komme ich {RouteMode} von {StartLoc} zur {EndLoc}
DirectionIntent   wie komme ich {RouteMode} von {StartLoc} zur {EndLoc}
DirectionIntent   wie lange brauche ich {RouteMode} von {StartLoc} zur {EndLoc}
DirectionIntent   wie weit ist es {RouteMode} von {StartLoc} zur {EndLoc}
DirectionIntent   wie schnell komme ich {RouteMode} vom {StartLoc} zur {EndLoc}
